"id","date","focal.depth","magnitude","intensity","country","location.name","latitude","longitude","casualties","property.damage","factor"
5459,1997-04-22,5,6.7,NA,"TRINIDAD AND TOBAGO","TOBAGO",11.112,-60.892,NA,NA,"[6,7)"
7201,1997-04-23,101,6.5,7,"USA TERRITORY","GUAM",13.986,144.901,NA,NA,"[6,7)"
5461,1997-05-10,10,7.2,10,"IRAN","IRAN:  BIRJAND, GHAEN",33.825,59.809,4028,NA,"[7,8)"
5463,1997-05-13,196,6.4,NA,"AFGHANISTAN","AFGHANISTAN:  HINDU-KUSH, MALAKAND-PESHAWAR",36.411,70.945,NA,NA,"[6,7)"
5465,1997-05-21,36,5.8,8,"INDIA","INDIA:  SOUTHERN:  JABALPUR",23.083,80.041,1056,61236,"[5,6)"
5466,1997-06-25,10,5.9,NA,"IRAN","IRAN:  BIRJAND, QAYEN",33.938,59.475,NA,5100,"[5,6)"
5467,1997-07-09,20,7,5,"VENEZUELA","VENEZUELA:  CARIACO-CUMANA",10.598,-63.486,603,NA,"[7,8)"
5469,1997-07-21,5,5,NA,"SOUTH AFRICA","SOUTH AFRICA:  AVGOLD'S HARTEBEESTFONTEIN MINE",-26.857,26.619,61,NA,"[5,6)"
5471,1997-08-20,33,6,NA,"INDONESIA","INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN",4.358,96.494,NA,NA,"[6,7)"
5472,1997-09-26,10,5.7,8,"ITALY","ITALY:  CENTRAL:  MARCHE, UMBRIA",43.048,12.879,NA,NA,"[5,6)"
5473,1997-09-26,10,6,10,"ITALY","ITALY:  CENTRAL:  MARCHE, UMBRIA",43.084,12.812,114,NA,"[6,7)"
5474,1997-09-28,33,5.9,NA,"INDONESIA","INDONESIA:  SULAWESI, PAREPARE",-3.776,119.727,320,NA,"[5,6)"
7447,1997-09-30,10,6.2,NA,"JAPAN","JAPAN:  HONSHU:  S",31.959,141.878,NA,NA,"[6,7)"
6820,1997-10-14,167,7.7,NA,"TONGA","TONGA ISLANDS",-22.101,-176.772,NA,NA,"[7,8)"
5475,1997-10-15,58,7.1,NA,"CHILE","CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,308,20700,"[7,8)"
5476,1997-11-08,33,7.5,NA,"CHINA","CHINA:  TIBET (XIZANG PROVINCE)",35.069,87.325,NA,NA,"[7,8)"
5477,1997-11-18,33,6.6,NA,"GREECE","GREECE:  IONIAN SEA, AMALIAS, GARGALIANOI, KALAMAI",37.57,20.656,NA,NA,"[6,7)"
5478,1997-11-21,54,6.1,NA,"INDIA","INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH",22.212,92.702,223,NA,"[6,7)"
5479,1997-11-25,24,7,NA,"INDONESIA","INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO",1.241,122.536,NA,NA,"[7,8)"
